,Archivo,Tamano,Sweeping,Goloso Adicional,Cluster Adicional,Savings
121,instanciasAleatorias/instancia_20_1.vrp,20,269500,263303,298220,398423
122,instanciasAleatorias/instancia_20_2.vrp,20,271696,238511,279858,409541
123,instanciasAleatorias/instancia_20_3.vrp,20,270015,260507,283289,357308
124,instanciasAleatorias/instancia_20_4.vrp,20,278339,243159,270297,357099
125,instanciasAleatorias/instancia_20_5.vrp,20,275738,228313,286985,329850
126,instanciasAleatorias/instancia_20_6.vrp,20,261328,228918,286026,336707
127,instanciasAleatorias/instancia_20_7.vrp,20,261364,227836,280481,375343
128,instanciasAleatorias/instancia_20_8.vrp,20,261637,315251,268460,377906
129,instanciasAleatorias/instancia_20_9.vrp,20,331985,237728,461925,394238
130,instanciasAleatorias/instancia_210_0.vrp,210,28360434,25205593,31248714,342538164
131,instanciasAleatorias/instancia_210_1.vrp,210,28236339,34349960,31447648,326734241
132,instanciasAleatorias/instancia_210_2.vrp,210,24330052,29298406,34814865,328252341
133,instanciasAleatorias/instancia_210_3.vrp,210,24735033,25266792,36205215,313847355
134,instanciasAleatorias/instancia_210_4.vrp,210,29167182,25518503,31809522,308197033
135,instanciasAleatorias/instancia_210_5.vrp,210,28228039,29681590,32818640,314592945
136,instanciasAleatorias/instancia_210_6.vrp,210,27845416,28584729,30841327,244660643
137,instanciasAleatorias/instancia_210_7.vrp,210,28269008,28447612,32131162,324520960
138,instanciasAleatorias/instancia_210_8.vrp,210,28307626,25059646,31434596,319127530
139,instanciasAleatorias/instancia_210_9.vrp,210,28264107,29178166,39333102,286665145
140,instanciasAleatorias/instancia_220_0.vrp,220,32264199,33521940,42002074,365829743
141,instanciasAleatorias/instancia_220_1.vrp,220,31768075,31857385,43043575,356988286
142,instanciasAleatorias/instancia_220_2.vrp,220,31971401,32799087,36492959,355265317
143,instanciasAleatorias/instancia_220_3.vrp,220,32156119,33236073,29441972,376670647
144,instanciasAleatorias/instancia_220_4.vrp,220,27208805,34376974,29703292,386683896
145,instanciasAleatorias/instancia_220_5.vrp,220,26764980,27637492,36286324,436326108
